catalog_id,initial,name,runtime_family,runtime_type,languages_or_code,execution_model,bytecode_or_ir,memory_management,typical_environment,sandbox_model,provider_or_project,engine_or_host_relation,stateofjs_runtime_rank_2025,stateofjs_runtime_users_2025,stateofjs_runtime_use_pct_2025,stateofjs_edge_rank_2025,stateofjs_edge_users_2025,stateofjs_edge_use_pct_2025,stackoverflow_web_rank_2025,stackoverflow_web_used_pct_2025,country_data_status,gender_data_status,notes,source_url
341,N,NekoVM,Historical / portable VMs,Virtual machine / educational or legacy runtime,Various,Interpreter / JIT / AOT varies,Portable bytecode / IR,Varies,"Historical, research, legacy systems",Host-dependent,,,,,,,,,,,No comparable runtime-by-country global table populated,No robust per-runtime gender cross-tab populated,,https://en.wikipedia.org/wiki/Comparison_of_application_virtualization_software
342,N,Netlify Edge Functions Runtime,Edge / serverless,Managed execution platform,Multi-language / JavaScript / WebAssembly varies,Managed process / isolate / Wasm execution,Provider-defined,Provider-managed,Cloud / edge,Provider sandbox / isolate / container boundary,,,,,,6,609,6.3,,,No comparable runtime-by-country global table populated,No robust per-runtime gender cross-tab populated,Execution platform rather than a standalone language VM; overlaps cloud/serverless taxonomy.,https://2025.stateofjs.com/en-US/other-tools/
343,N,Netlify Functions Runtime,Edge / serverless,Managed execution platform,Multi-language / JavaScript / WebAssembly varies,Managed process / isolate / Wasm execution,Provider-defined,Provider-managed,Cloud / edge,Provider sandbox / isolate / container boundary,,,,,,,,,,,No comparable runtime-by-country global table populated,No robust per-runtime gender cross-tab populated,Execution platform rather than a standalone language VM; overlaps cloud/serverless taxonomy.,https://2025.stateofjs.com/en-US/other-tools/
344,N,newlib,Native system runtimes,Runtime library / ABI layer,"C, C++ and native languages",Native execution support,Native machine code / ABI,Manual / language-specific,"Operating systems, embedded, native applications",OS process boundary,,,,,,,,,,,No comparable runtime-by-country global table populated,No robust per-runtime gender cross-tab populated,,https://en.wikipedia.org/wiki/Comparison_of_application_virtualization_software
345,N,Newspeak VM,Smalltalk / Self,Object VM / language runtime,"Smalltalk, Self, Newspeak",Bytecode interpreter + JIT varies,Smalltalk bytecode / object memory,Garbage collected,"Desktop, research, server, browser",Host-dependent,,,,,,,,,,,No comparable runtime-by-country global table populated,No robust per-runtime gender cross-tab populated,,https://opensmalltalk.org/
346,N,Nidium,JavaScript / TypeScript,Application runtime,JavaScript / TypeScript,Interpreter / JIT / AOT varies,JavaScript source / engine-specific bytecode,Garbage collected,Server / embedded / edge / experimental,Host-dependent,,,,,,,,,,,No comparable runtime-by-country global table populated,No robust per-runtime gender cross-tab populated,,https://en.wikipedia.org/wiki/List_of_JavaScript_engines
347,N,Nim ARC/ORC Runtime,Native / compiled-language runtime systems,Runtime system / execution engine,"Go, Haskell, OCaml, Julia, R, Swift, Kotlin Native, Rust, Zig, Nim, D, Ada, Fortran and others",Native compiled / JIT / bytecode varies,Native code / LLVM IR / language-specific IR,Manual / GC / ARC / ownership varies,Native desktop/server/embedded,OS process boundary,,,,,,,,,,,No comparable runtime-by-country global table populated,No robust per-runtime gender cross-tab populated,,https://en.wikipedia.org/wiki/Comparison_of_application_virtualization_software
348,N,Nim C Runtime,Other language runtimes,Language runtime / VM / execution environment,"Prolog, Tcl, AWK, Forth, Haxe, Dart and others",Interpreter / JIT / AOT / native varies,Language-specific bytecode / native / JS / Wasm,Varies,"CLI, server, desktop, browser, embedded",Host-dependent,,,,,,,,,,,No comparable runtime-by-country global table populated,No robust per-runtime gender cross-tab populated,,https://en.wikipedia.org/wiki/Comparison_of_application_virtualization_software
349,N,Nim JS Runtime,Other language runtimes,Language runtime / VM / execution environment,"Prolog, Tcl, AWK, Forth, Haxe, Dart and others",Interpreter / JIT / AOT / native varies,Language-specific bytecode / native / JS / Wasm,Varies,"CLI, server, desktop, browser, embedded",Host-dependent,,,,,,,,,,,No comparable runtime-by-country global table populated,No robust per-runtime gender cross-tab populated,,https://en.wikipedia.org/wiki/Comparison_of_application_virtualization_software
350,N,Nim Runtime,Native / compiled-language runtime systems,Runtime system / execution engine,"Go, Haskell, OCaml, Julia, R, Swift, Kotlin Native, Rust, Zig, Nim, D, Ada, Fortran and others",Native compiled / JIT / bytecode varies,Native code / LLVM IR / language-specific IR,Manual / GC / ARC / ownership varies,Native desktop/server/embedded,OS process boundary,,,,,,,,,,,No comparable runtime-by-country global table populated,No robust per-runtime gender cross-tab populated,,https://en.wikipedia.org/wiki/Comparison_of_application_virtualization_software
351,N,Nitro JavaScript Engine,JavaScript engines,Language engine / VM,JavaScript; some WebAssembly,Interpreter + JIT varies,Engine bytecode / machine code,Garbage collected,"Browsers, runtimes, embedded applications",Embedding host controls sandbox,,,,,,,,,,,No comparable runtime-by-country global table populated,No robust per-runtime gender cross-tab populated,,https://en.wikipedia.org/wiki/List_of_JavaScript_engines
352,N,Node V8 Runtime,Other language runtimes,Language runtime / VM / execution environment,"Prolog, Tcl, AWK, Forth, Haxe, Dart and others",Interpreter / JIT / AOT / native varies,Language-specific bytecode / native / JS / Wasm,Varies,"CLI, server, desktop, browser, embedded",Host-dependent,,,,,,,,,,,No comparable runtime-by-country global table populated,No robust per-runtime gender cross-tab populated,,https://en.wikipedia.org/wiki/Comparison_of_application_virtualization_software
353,N,Node.js,JavaScript / TypeScript,Application runtime,JavaScript; TypeScript support,JIT + interpreter,JavaScript source / V8 bytecode,Garbage collected,"Server, CLI, tooling, desktop backends",Process/OS permissions,OpenJS Foundation,Built on V8,1,10062,90.3,,,,1,48.7,No comparable runtime-by-country global table populated,No robust per-runtime gender cross-tab populated,Cross-platform JavaScript runtime; major ecosystem runtime.,https://nodejs.org/en/learn/getting-started/introduction-to-nodejs
354,N,Nodyn,JavaScript / TypeScript,Application runtime,JavaScript / TypeScript,Interpreter / JIT / AOT varies,JavaScript source / engine-specific bytecode,Garbage collected,Server / embedded / edge / experimental,Host-dependent,,,,,,,,,,,No comparable runtime-by-country global table populated,No robust per-runtime gender cross-tab populated,,https://en.wikipedia.org/wiki/List_of_JavaScript_engines
355,N,NQP Runtime,Perl / Raku,Language VM / runtime,"Perl, Raku, NQP",Interpreter / JIT varies,OP tree / MoarVM bytecode / JVM bytecode / Parrot bytecode,Garbage collected / reference counting varies,"Server, CLI, scripting",Host-dependent,,,,,,,,,,,No comparable runtime-by-country global table populated,No robust per-runtime gender cross-tab populated,,https://en.wikipedia.org/wiki/Comparison_of_application_virtualization_software
356,N,Nuitka Embedded CPython Runtime,Python,Language runtime / implementation,Python,Bytecode interpreter / JIT / AOT varies,Python bytecode / JVM / CLR / Wasm / native varies,Garbage collected / reference counting varies,"Server, desktop, browser, embedded",Host-dependent,,,,,,,,,,,No comparable runtime-by-country global table populated,No robust per-runtime gender cross-tab populated,,https://www.python.org/download/alternatives/
357,N,NVIDIA OpenMP Offload Runtime,GPU / accelerator,Accelerator execution runtime,"CUDA, HIP, OpenCL, SYCL, C/C++, accelerator kernels",JIT / AOT / device execution,PTX / SPIR-V / native GPU code,Host/device managed,GPU / accelerator computing,Driver/device boundary,,,,,,,,,,,No comparable runtime-by-country global table populated,No robust per-runtime gender cross-tab populated,,https://docs.nvidia.com/cuda/cuda-runtime-api/index.html
358,N,NVIDIA Triton Runtime,GPU / accelerator,Accelerator execution runtime,"CUDA, HIP, OpenCL, SYCL, C/C++, accelerator kernels",JIT / AOT / device execution,PTX / SPIR-V / native GPU code,Host/device managed,GPU / accelerator computing,Driver/device boundary,,,,,,,,,,,No comparable runtime-by-country global table populated,No robust per-runtime gender cross-tab populated,,https://docs.nvidia.com/cuda/cuda-runtime-api/index.html
359,N,NVRTC Runtime Compiler,GPU / accelerator,Accelerator execution runtime,"CUDA, HIP, OpenCL, SYCL, C/C++, accelerator kernels",JIT / AOT / device execution,PTX / SPIR-V / native GPU code,Host/device managed,GPU / accelerator computing,Driver/device boundary,,,,,,,,,,,No comparable runtime-by-country global table populated,No robust per-runtime gender cross-tab populated,,https://docs.nvidia.com/cuda/cuda-runtime-api/index.html
360,O,O-code Machine,Historical / portable VMs,Virtual machine / educational or legacy runtime,Various,Interpreter / JIT / AOT varies,Portable bytecode / IR,Varies,"Historical, research, legacy systems",Host-dependent,,,,,,,,,,,No comparable runtime-by-country global table populated,No robust per-runtime gender cross-tab populated,,https://en.wikipedia.org/wiki/Comparison_of_application_virtualization_software
361,O,OCaml 5 Multicore Runtime,Native / compiled-language runtime systems,Runtime system / execution engine,"Go, Haskell, OCaml, Julia, R, Swift, Kotlin Native, Rust, Zig, Nim, D, Ada, Fortran and others",Native compiled / JIT / bytecode varies,Native code / LLVM IR / language-specific IR,Manual / GC / ARC / ownership varies,Native desktop/server/embedded,OS process boundary,,,,,,,,,,,No comparable runtime-by-country global table populated,No robust per-runtime gender cross-tab populated,,https://en.wikipedia.org/wiki/Comparison_of_application_virtualization_software
362,O,OCaml Runtime,Native / compiled-language runtime systems,Runtime system / execution engine,"Go, Haskell, OCaml, Julia, R, Swift, Kotlin Native, Rust, Zig, Nim, D, Ada, Fortran and others",Native compiled / JIT / bytecode varies,Native code / LLVM IR / language-specific IR,Manual / GC / ARC / ownership varies,Native desktop/server/embedded,OS process boundary,,,,,,,,,,,No comparable runtime-by-country global table populated,No robust per-runtime gender cross-tab populated,,https://en.wikipedia.org/wiki/Comparison_of_application_virtualization_software
363,O,oneAPI DPC++ Runtime,GPU / accelerator,Accelerator execution runtime,"CUDA, HIP, OpenCL, SYCL, C/C++, accelerator kernels",JIT / AOT / device execution,PTX / SPIR-V / native GPU code,Host/device managed,GPU / accelerator computing,Driver/device boundary,,,,,,,,,,,No comparable runtime-by-country global table populated,No robust per-runtime gender cross-tab populated,,https://docs.nvidia.com/cuda/cuda-runtime-api/index.html
364,O,Opal Runtime,Ruby,Language runtime / VM / JIT,Ruby,Interpreter / bytecode VM / JIT / AOT varies,YARV bytecode / JVM bytecode / native / JavaScript varies,Garbage collected,"Server, desktop, embedded, browser",Host-dependent,,,,,,,,,,,No comparable runtime-by-country global table populated,No robust per-runtime gender cross-tab populated,,https://en.wikipedia.org/wiki/Comparison_of_application_virtualization_software
365,O,Open Firmware Forth Runtime,Other language runtimes,Language runtime / VM / execution environment,"Prolog, Tcl, AWK, Forth, Haxe, Dart and others",Interpreter / JIT / AOT / native varies,Language-specific bytecode / native / JS / Wasm,Varies,"CLI, server, desktop, browser, embedded",Host-dependent,,,,,,,,,,,No comparable runtime-by-country global table populated,No robust per-runtime gender cross-tab populated,,https://en.wikipedia.org/wiki/Comparison_of_application_virtualization_software
366,O,OpenACC Runtime,GPU / accelerator,Accelerator execution runtime,"CUDA, HIP, OpenCL, SYCL, C/C++, accelerator kernels",JIT / AOT / device execution,PTX / SPIR-V / native GPU code,Host/device managed,GPU / accelerator computing,Driver/device boundary,,,,,,,,,,,No comparable runtime-by-country global table populated,No robust per-runtime gender cross-tab populated,,https://docs.nvidia.com/cuda/cuda-runtime-api/index.html
367,O,OpenCL ICD Loader,GPU / accelerator,Accelerator execution runtime,"CUDA, HIP, OpenCL, SYCL, C/C++, accelerator kernels",JIT / AOT / device execution,PTX / SPIR-V / native GPU code,Host/device managed,GPU / accelerator computing,Driver/device boundary,,,,,,,,,,,No comparable runtime-by-country global table populated,No robust per-runtime gender cross-tab populated,,https://docs.nvidia.com/cuda/cuda-runtime-api/index.html
368,O,OpenCL Runtime,GPU / accelerator,Accelerator execution runtime,"CUDA, HIP, OpenCL, SYCL, C/C++, accelerator kernels",JIT / AOT / device execution,PTX / SPIR-V / native GPU code,Host/device managed,GPU / accelerator computing,Driver/device boundary,,,,,,,,,,,No comparable runtime-by-country global table populated,No robust per-runtime gender cross-tab populated,,https://docs.nvidia.com/cuda/cuda-runtime-api/index.html
369,O,OpenJDK HotSpot,JVM,JVM implementation / managed runtime,Java bytecode / JVM languages,Interpreter + tiered JIT / AOT varies,JVM bytecode,Garbage collected,"Server, desktop, cloud, embedded",Managed runtime; process boundary,,,,,,,,,,,No comparable runtime-by-country global table populated,No robust per-runtime gender cross-tab populated,,https://en.wikipedia.org/wiki/List_of_Java_virtual_machines
370,O,OpenMP Runtime,GPU / accelerator,Accelerator execution runtime,"CUDA, HIP, OpenCL, SYCL, C/C++, accelerator kernels",JIT / AOT / device execution,PTX / SPIR-V / native GPU code,Host/device managed,GPU / accelerator computing,Driver/device boundary,,,,,,,,,,,No comparable runtime-by-country global table populated,No robust per-runtime gender cross-tab populated,,https://docs.nvidia.com/cuda/cuda-runtime-api/index.html
